City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,lobito,AO,-12.3481,13.5456,80.8,85.0,76.0,2.08,broken clouds
147,masuda,JP,34.6667,131.85,46.4,81.0,20.0,3.44,few clouds
149,saint-louis,SN,16.3333,-15.0,93.2,21.0,0.0,6.91,clear sky
150,te kauwhata,NZ,-37.4,175.15,69.01,42.0,100.0,8.01,overcast clouds
151,pingliang,CN,35.5392,106.6861,49.69,62.0,100.0,1.54,overcast clouds
152,arlit,NE,18.7369,7.3853,82.78,6.0,26.0,9.62,scattered clouds
154,chokurdakh,RU,70.6333,147.9167,-1.08,85.0,99.0,7.16,overcast clouds
156,chuy,UY,-33.6971,-53.4616,71.62,78.0,100.0,9.89,overcast clouds
157,salalah,OM,17.0151,54.0924,74.71,59.0,21.0,2.42,few clouds
158,mataura,NZ,-46.1927,168.8643,63.0,44.0,0.0,2.1,clear sky
159,lianzhou,CN,24.7811,112.3825,60.01,77.0,81.0,4.34,broken clouds
160,kodiak,US,57.79,-152.4072,30.2,37.0,1.0,39.12,clear sky
161,nayoro,JP,44.3506,142.4578,31.86,57.0,69.0,5.79,broken clouds
162,mundo nuevo,MX,18.7,-95.5,79.65,75.0,0.0,13.44,clear sky
163,lompoc,US,34.6391,-120.4579,60.8,59.0,50.0,19.57,scattered clouds
165,denpasar,ID,-8.65,115.2167,80.6,83.0,20.0,2.3,few clouds
166,flinders,AU,-34.5833,150.8552,75.0,66.0,71.0,1.99,broken clouds
167,saint-joseph,RE,-21.3667,55.6167,77.0,73.0,0.0,5.75,clear sky
168,gwadar,PK,25.1216,62.3254,76.87,60.0,1.0,10.33,clear sky
169,aksay,RU,47.26,39.87,42.01,75.0,0.0,6.71,light rain
170,avarua,CK,-21.2078,-159.775,82.4,78.0,75.0,6.91,broken clouds
171,correntina,BR,-13.3433,-44.6367,80.06,46.0,100.0,9.4,overcast clouds
172,camargo,MX,27.6667,-105.1667,90.81,6.0,0.0,8.61,clear sky
173,capitao poco,BR,-1.7464,-47.0594,73.98,96.0,93.0,4.65,overcast clouds
174,mitsamiouli,KM,-11.3847,43.2844,81.55,75.0,14.0,5.79,few clouds
176,olafsvik,IS,64.8945,-23.7142,25.32,50.0,3.0,11.83,clear sky
177,sitka,US,57.0531,-135.33,35.6,93.0,90.0,19.57,moderate rain
179,ponta delgada,PT,37.7333,-25.6667,59.0,88.0,75.0,19.57,broken clouds
181,hue,VN,16.4667,107.6,75.2,94.0,20.0,3.44,mist
182,jeremie,HT,18.65,-74.1167,77.13,83.0,96.0,4.03,overcast clouds
183,sibut,CF,5.718,19.0739,73.56,82.0,84.0,4.34,broken clouds
184,baturaja,ID,-4.1333,104.1667,73.87,93.0,100.0,1.74,overcast clouds
186,guaymas,MX,27.9333,-110.9,102.2,9.0,1.0,18.41,clear sky
187,macau,MO,22.2006,113.5461,69.8,88.0,40.0,12.66,light rain
188,pitimbu,BR,-7.4706,-34.8086,78.8,89.0,20.0,6.91,few clouds
189,haines junction,CA,60.7522,-137.5108,23.0,74.0,100.0,3.44,light snow
190,monticello,US,45.3055,-93.7941,55.4,88.0,90.0,6.04,light rain
191,port blair,IN,11.6667,92.75,80.17,75.0,5.0,1.72,clear sky
192,paamiut,GL,61.994,-49.6678,32.92,77.0,100.0,15.68,overcast clouds
193,norman wells,CA,65.282,-126.8329,15.8,45.0,40.0,16.11,scattered clouds
194,cap malheureux,MU,-19.9842,57.6142,79.0,70.0,100.0,5.99,overcast clouds
195,phibun mangsahan,TH,15.2447,105.2291,77.0,88.0,13.0,9.44,few clouds
196,teya,RU,60.3778,92.6267,30.04,97.0,100.0,1.88,overcast clouds
197,antofagasta,CL,-23.65,-70.4,64.4,77.0,40.0,12.66,scattered clouds
198,kibara,TZ,-2.15,33.45,69.04,82.0,84.0,7.63,moderate rain
199,shenjiamen,CN,29.9576,122.298,54.73,57.0,90.0,13.58,overcast clouds
202,luancheng,CN,37.8792,114.6517,51.8,76.0,100.0,2.24,mist
203,labuhan,ID,-6.8844,112.2051,79.66,83.0,100.0,4.61,overcast clouds
204,waipawa,NZ,-41.4122,175.5153,64.99,88.0,90.0,13.8,overcast clouds
205,taltal,CL,-25.4,-70.4833,66.94,79.0,76.0,4.68,broken clouds
206,lethem,GY,3.3803,-59.7968,74.48,90.0,99.0,4.99,overcast clouds
207,ostuni,IT,40.7276,17.5764,50.0,46.0,0.0,5.75,clear sky
208,billings,US,45.7833,-108.5007,37.99,93.0,90.0,13.8,moderate rain
209,faanui,PF,-16.4833,-151.75,81.84,72.0,15.0,9.44,few clouds
210,vilyuysk,RU,63.7553,121.6247,16.72,91.0,100.0,8.86,overcast clouds
211,el jicaro,GT,14.9167,-89.9,91.4,46.0,40.0,16.11,scattered clouds
212,clonakilty,IE,51.6231,-8.8706,43.0,93.0,40.0,9.22,scattered clouds
214,tuatapere,NZ,-46.1333,167.6833,60.85,53.0,2.0,3.38,clear sky
215,kingsville,US,27.5159,-97.8561,86.0,57.0,20.0,17.27,few clouds
216,uncia,BO,-18.467,-66.5685,54.01,50.0,28.0,7.07,scattered clouds
217,ostrovnoy,RU,68.0531,39.5131,33.76,98.0,100.0,7.43,light snow
218,guarapari,BR,-20.6667,-40.4975,75.99,94.0,75.0,2.3,mist
219,severnyy-kospashskiy,RU,59.0925,57.8008,37.0,98.0,100.0,7.0,overcast clouds
220,severo-kurilsk,RU,50.6789,156.125,32.0,96.0,100.0,12.8,snow
221,nantucket,US,41.2835,-70.0995,46.4,87.0,90.0,12.66,overcast clouds
222,resistencia,AR,-27.4606,-58.9839,80.6,74.0,0.0,9.22,clear sky
224,sinnamary,GF,5.3833,-52.95,74.97,91.0,100.0,6.93,overcast clouds
225,yellowknife,CA,62.456,-114.3525,15.01,62.0,20.0,11.5,few clouds
226,lewistown,US,40.5992,-77.5714,66.2,45.0,1.0,4.61,clear sky
227,vorontsovka,RU,50.6132,40.3549,39.31,60.0,100.0,6.67,overcast clouds
228,takaka,NZ,-40.85,172.8,61.0,83.0,100.0,3.0,overcast clouds
229,tazovskiy,RU,67.4667,78.7,-7.94,95.0,16.0,5.23,few clouds
230,tomatlan,MX,19.9333,-105.25,81.88,45.0,69.0,5.79,broken clouds
231,punta silum,PH,8.3817,124.2694,79.0,82.0,88.0,4.0,overcast clouds
232,barcelos,PT,41.5388,-8.6151,55.99,93.0,0.0,1.14,clear sky
233,pevek,RU,69.7008,170.3133,-7.76,85.0,46.0,1.16,scattered clouds
234,grand-santi,GF,4.25,-54.3833,72.91,98.0,100.0,2.37,heavy intensity rain
235,margate,GB,51.3813,1.3862,43.0,72.0,100.0,1.99,overcast clouds
236,mujiayingzi,CN,42.1167,118.7833,46.69,31.0,54.0,5.17,broken clouds
237,baykit,RU,61.67,96.37,16.68,88.0,93.0,3.36,overcast clouds
239,puri,IN,19.8,85.85,77.0,73.0,40.0,5.75,haze
240,vung tau,VN,10.346,107.0843,80.4,78.0,95.0,13.2,overcast clouds
241,abonnema,NG,4.7084,6.7931,73.4,100.0,75.0,3.44,broken clouds
243,longyearbyen,SJ,78.2186,15.6401,28.4,69.0,20.0,16.11,few clouds
244,namibe,AO,-15.1961,12.1522,79.65,66.0,95.0,9.82,overcast clouds
245,hithadhoo,MV,-0.6,73.0833,82.72,66.0,19.0,12.26,few clouds
246,geraldton,AU,-28.7667,114.6,69.8,60.0,98.0,17.27,overcast clouds
247,airai,TL,-8.9266,125.4092,66.83,75.0,86.0,1.59,overcast clouds
248,fare,PF,-16.7,-151.0167,81.97,71.0,8.0,8.61,clear sky
249,ulaangom,MN,49.9811,92.0667,35.94,60.0,15.0,5.32,few clouds
250,touros,BR,-5.1989,-35.4608,78.8,83.0,20.0,4.61,few clouds
251,evensk,RU,61.95,159.2333,18.01,69.0,43.0,13.15,scattered clouds
252,goderich,CA,43.7501,-81.7165,73.4,38.0,93.0,20.71,overcast clouds
253,karratha,AU,-20.7377,116.8463,83.73,70.0,92.0,15.23,light rain
254,yar-sale,RU,66.8333,70.8333,31.01,86.0,100.0,12.75,overcast clouds
255,dixon,US,38.4455,-121.8233,78.01,22.0,1.0,3.74,clear sky
256,vawkavysk,BY,53.1561,24.4513,31.51,92.0,25.0,7.78,scattered clouds
257,virginia beach,US,36.8529,-75.978,59.0,87.0,72.0,12.71,broken clouds
258,puro,PH,12.4841,123.3827,80.55,72.0,100.0,9.44,overcast clouds
259,talaya,RU,61.3833,152.75,2.35,87.0,56.0,2.84,broken clouds
260,yuanping,CN,38.7153,112.7575,52.54,63.0,93.0,0.43,overcast clouds
261,khovu-aksy,RU,51.1333,93.6,31.42,82.0,38.0,1.54,scattered clouds
263,iquique,CL,-20.2208,-70.1431,68.0,68.0,90.0,14.97,overcast clouds
264,shahpur chakar,PK,26.155,68.6509,71.6,83.0,2.0,3.27,haze
265,baruun-urt,MN,46.6806,113.2792,43.97,28.0,30.0,8.14,scattered clouds
266,watertown,US,42.3709,-71.1828,52.0,76.0,40.0,9.22,scattered clouds
267,garden city,US,42.3256,-83.331,61.0,88.0,90.0,6.91,overcast clouds
268,abha,SA,18.2164,42.5053,64.4,63.0,0.0,4.61,clear sky
269,tooele,US,40.5308,-112.2983,64.4,27.0,75.0,4.61,broken clouds
270,fortuna,US,40.5982,-124.1573,57.0,71.0,75.0,17.27,broken clouds
271,canazas,PA,8.3167,-81.2167,72.97,93.0,100.0,2.82,overcast clouds
272,fairbanks,US,64.8378,-147.7164,12.2,57.0,75.0,16.11,broken clouds
273,sambava,MG,-14.2667,50.1667,74.79,88.0,100.0,7.99,overcast clouds
