City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Balykshi,KZ,2021-04-01 14:31:47,47.0667,51.8667,51.8,22,0,17.9
151,Kapoeta,SS,2021-04-01 14:31:48,4.7717,33.5903,94.8,25,39,13.94
152,Richards Bay,ZA,2021-04-01 14:31:48,-28.783,32.0377,77.13,76,59,6.76
153,Springfield,US,2021-04-01 14:26:50,37.2153,-93.2982,39.99,44,1,9.22
154,Beloha,MG,2021-04-01 14:31:49,-25.1667,45.05,74.05,69,0,15.57
155,Saint George,US,2021-04-01 14:30:40,37.1041,-113.5841,41.0,30,1,3.44
156,Antofagasta,CL,2021-04-01 14:28:36,-23.65,-70.4,72.0,72,40,3.44
157,Mehamn,NO,2021-04-01 14:31:49,71.0357,27.8492,32.5,93,100,3.91
158,Asyut,EG,2021-04-01 14:31:50,27.181,31.1837,77.0,25,0,19.57
159,Boende,CD,2021-04-01 14:31:50,-0.2167,20.8667,87.03,52,71,3.33
160,Victoria,HK,2021-04-01 14:28:56,22.2855,114.1577,79.0,84,74,9.51
161,Verkhniye Tatyshly,RU,2021-04-01 14:31:50,56.2912,55.8575,32.74,98,100,12.88
162,Klaksvik,FO,2021-04-01 14:31:51,62.2266,-6.589,44.6,87,75,17.27
163,Ashqelon,IL,2021-04-01 14:31:51,31.6693,34.5715,66.99,49,26,3.0
164,Vila Franca Do Campo,PT,2021-04-01 14:31:51,37.7167,-25.4333,62.6,77,20,9.22
165,Riyadh,SA,2021-04-01 14:26:57,24.6877,46.7219,98.6,7,0,10.36
166,Nanortalik,GL,2021-04-01 14:31:51,60.1432,-45.2371,37.04,83,61,10.56
167,Roald,NO,2021-04-01 14:31:52,62.5833,6.1333,42.01,81,75,24.16
168,Kayes,ML,2021-04-01 14:31:52,14.0,-11.0,107.35,5,0,7.78
169,Mendi,PG,2021-04-01 14:31:52,-6.1761,143.6513,57.38,98,100,0.47
170,Biu,NG,2021-04-01 14:31:53,10.6129,12.1946,92.91,9,68,7.63
171,Coquimbo,CL,2021-04-01 14:31:53,-29.9533,-71.3436,59.0,77,90,3.44
172,Longyearbyen,SJ,2021-04-01 14:31:53,78.2186,15.6401,30.2,64,75,6.91
173,Altoona,US,2021-04-01 14:31:53,40.5187,-78.3947,39.0,92,86,13.6
174,Ust-Tsilma,RU,2021-04-01 14:31:54,65.441,52.1498,29.98,95,95,3.24
175,Tucuman,AR,2021-04-01 14:28:36,-26.8241,-65.2226,69.8,83,90,0.74
176,Cobija,BO,2021-04-01 14:31:54,-11.0267,-68.7692,80.6,83,75,4.61
177,Uusikaupunki,FI,2021-04-01 14:31:54,60.8004,21.4084,42.8,56,0,11.5
178,Menongue,AO,2021-04-01 14:29:14,-14.6585,17.691,73.18,71,94,6.96
179,Marilandia,BR,2021-04-01 14:31:55,-19.4128,-40.5417,85.95,62,58,1.16
180,Sawakin,SD,2021-04-01 14:31:55,19.1059,37.3321,78.26,60,42,15.55
181,Moroni,KM,2021-04-01 14:31:55,-11.7022,43.2551,87.8,70,20,11.5
182,Saraland,US,2021-04-01 14:31:56,30.8207,-88.0706,51.8,40,1,19.57
183,Odweyne,SO,2021-04-01 14:31:56,9.4092,45.064,85.51,14,15,2.39
184,Waddan,LY,2021-04-01 14:31:56,29.1614,16.139,71.71,25,2,9.46
185,Olafsvik,IS,2021-04-01 14:31:57,64.8945,-23.7142,41.07,85,99,15.9
186,Muisne,EC,2021-04-01 14:31:57,0.6,-80.0333,77.0,100,75,4.61
187,Zlitan,LY,2021-04-01 14:31:57,32.4674,14.5687,64.9,47,0,11.3
188,Semnan,IR,2021-04-01 14:31:58,35.5729,53.3971,68.04,24,68,6.87
189,Gamba,GA,2021-04-01 14:31:58,-2.65,10.0,83.03,70,26,11.79
190,Uray,RU,2021-04-01 14:31:58,60.1247,64.7758,32.68,96,100,6.06
191,Abu Dhabi,AE,2021-04-01 14:29:30,24.4667,54.3667,86.0,28,0,9.22
192,Quatre Cocos,MU,2021-04-01 14:31:59,-20.2078,57.7625,82.4,78,40,6.91
193,Ariquemes,BR,2021-04-01 14:31:59,-9.9133,-63.0408,86.04,63,96,1.45
194,Muriti,TZ,2021-04-01 14:31:59,-1.9833,32.9167,80.6,69,40,5.75
195,Prainha,BR,2021-04-01 14:31:59,-1.8,-53.48,84.31,67,54,3.76
196,Bengkulu,ID,2021-04-01 14:32:00,-3.8004,102.2655,75.85,90,99,7.47
197,Ugoofaaru,MV,2021-04-01 14:32:00,5.6667,73.0,84.58,72,100,13.13
198,Sochi,RU,2021-04-01 14:30:05,43.6,39.7303,55.0,71,75,8.95
199,Rudnya,RU,2021-04-01 14:32:00,54.947,31.0934,39.2,93,75,15.66
200,Mwandiga,TZ,2021-04-01 14:32:01,-4.83,29.6581,80.6,69,40,11.5
201,Sur,OM,2021-04-01 14:32:01,22.5667,59.5289,82.69,42,0,2.01
202,Weingarten,DE,2021-04-01 14:32:01,47.8,9.6333,71.01,40,0,5.75
203,Gat,IL,2021-04-01 14:28:00,31.61,34.7642,66.99,48,72,1.01
204,Senneterre,CA,2021-04-01 14:32:02,48.3835,-77.2328,10.4,72,90,13.8
205,Serowe,BW,2021-04-01 14:32:02,-22.3833,26.7167,82.22,27,67,6.02
206,Shaki,AZ,2021-04-01 14:32:02,41.0833,47.1667,62.6,51,0,9.22
207,Lebu,CL,2021-04-01 14:32:03,-37.6167,-73.65,60.22,80,86,9.73
208,Rafai,CF,2021-04-01 14:32:03,4.95,23.9167,92.08,33,79,2.95
209,George,ZA,2021-04-01 14:32:03,-33.963,22.4617,64.4,68,75,10.36
210,Rawson,AR,2021-04-01 14:32:03,-43.3002,-65.1023,64.38,62,100,4.47
211,Batticaloa,LK,2021-04-01 14:32:04,7.7102,81.6924,82.27,80,3,3.27
212,Ancud,CL,2021-04-01 14:32:04,-41.8697,-73.8203,57.0,100,90,3.44
